coditen_cli,descricao,codbarras,ncm,ex_ncm,natu_tabela,natu_codnature,cst_in,cst_out,aliq_in_pis,aliq_out_pis,aliq_in_cofins,aliq_out_cofins,conferido,cest,cst_in_icms,cst_out_icms,aliq_in_icms,aliq_out_icms,bc_dentro,bc_fora,cson
2184,ALFACE AMERICANA UNIDADE,,,00,,,,,,,,,0,,,,,,,,
2186,GAS GLP GRANEL SGB,,,00,,,,,,,,,0,,,,,,,,
2192,AMEIXA KG,,,00,,,,,,,,,0,,,,,,,,
2267,CLIMATIZADOR EVAPORATIVO ECOLOGICO ECO TETO,,,00,,,,,,,,,0,,,,,,,,
2396,NHO BENTO FRANGO CAIPIRA KG,,,00,,,,,,,,,0,,,,,,,,
2467,PADARIA EMBALAGENS,,,00,,,,,,,,,0,,,,,,,,
2472,CHIPA EMPANADA KG,,,00,,,,,,,,,0,,,,,,,,
2492,REFRIGERADOR 220V,,,00,,,,,,,,,0,,,,,,,,
2507,LINGUICA CUIABANA KG,,,00,,,,,,,,,0,,,,,,,,
2588,ROUPEIRO 12P PEQUENA C/CHAVE,,,00,,,,,,,,,0,,,,,,,,
2591,ESPINAFRE UNIDADE,,,00,,,,,,,,,0,,,,,,,,
2592,CHICORIA UNIDADE,,,00,,,,,,,,,0,,,,,,,,
2599,MIKA UVA PASSA 100G,,,00,,,,,,,,,0,,,,,,,,
24749,GANACHE CHOC LEITE MELKEN 4KG,,,00,,,,,,,,,0,,,,,,,,
33914,GRANULADO CHOC CROCANTE 101KG MAVALERIO,,,00,,,,,,,,,0,,,,,,,,
121242,FERMENTO QUIMICO 1KG SELECTA,,,00,,,,,,,,,0,,,,,,,,
78900134,CIG MARLBORO GOLD ORIGINAL BOX,00000078900134,,00,,,,,,,,,0,,,,,,,,
78900509,ROTHMANS CIG INTERNATIONAL,00000078900509,,00,,,,,,,,,0,,,,,,,,
78903418,CIG MARLBORO RED BOX,00000078903418,,00,,,,,,,,,0,,,,,,,,
78903784,BATAVO CREAMY CHOCOLATE 200G,00000078903784,,00,,,,,,,,,0,,,,,,,,
78905498,HEINEKEN CERV PILSEN 600ML,00000078905498,,00,,,,,,,,,0,,,,,,,,
78909106,CREOLINA PEARSON 50ML,00000078909106,,00,,,,,,,,,0,,,,,,,,
78911000,YAKULT LEITE FERMENTADO 80G,00000078911000,,00,,,,,,,,,0,,,,,,,,
78911260,VIGOR FLAN BAUNILHA CCARAMELO 220G,00000078911260,,00,,,,,,,,,0,,,,,,,,
78911314,BOHEMIA CERVEJA LONG NECK 355ML,00000078911314,,00,,,,,,,,,0,,,,,,,,
78912274,BATAVO FLAN CARAMELO 200G,00000078912274,,00,,,,,,,,,0,,,,,,,,
78912298,BATAVO FLAN BAUFR VERM 200G,00000078912298,,00,,,,,,,,,0,,,,,,,,
78912939,COCA COLA PET 250ML,00000078912939,,00,,,,,,,,,0,,,,,,,,
78913554,VIGOR LEITE FERM MINIONS 75G,00000078913554,,00,,,,,,,,,0,,,,,,,,
78914506,REXONA DES ROLLON MEN ACTIVE 50ML,00000078914506,,00,,,,,,,,,0,,,,,,,,
78923454,REXONA RL MEN V8 50ML,00000078923454,,00,,,,,,,,,0,,,,,,,,
78924338,REXONA RL POWDER 50ML,00000078924338,,00,,,,,,,,,0,,,,,,,,
78927773,CIG DUNHILL CARLTON BLEMD,00000078927773,,00,,,,,,,,,0,,,,,,,,
78934115,SOL CERV. LONG NECK 330ML,00000078934115,,00,,,,,,,,,0,,,,,,,,
78934412,TREVO FUMO DESFIADO 45G,00000078934412,,00,,,,,,,,,0,,,,,,,,
78935761,CIG DUNHILL CARLTON,00000078935761,,00,,,,,,,,,0,,,,,,,,
78936126,NESTLE IORG GREGO TORTA DE LIMAO 90G,00000078936126,,00,,,,,,,,,0,,,,,,,,
78936195,NESTLE CHANDELLE CHOCOLATE 180G,00000078936195,,00,,,,,,,,,0,,,,,,,,
78936676,YAKULT LEITE FERMENTADO LIGHT 80G,00000078936676,,00,,,,,,,,,0,,,,,,,,
78936683,HEINEKEN CERV L.NECK 330ML,00000078936683,,00,,,,,,,,,0,,,,,,,,
